Randomizer Version: 4.6.1
Random Seed: 29002602117589
Settings String: 322AAgEAgSDAYYBiQEEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBQAyAAIAFFBva2Vtb24gUGxhdGludW0gKFMp3lSAj+PDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Filtro      |Electromotor|
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Despiste    |Dicha       |
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Antídoto    |Ignífugo    |
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|Mal Sueño   |Cuerpo Puro |
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|Mar Llamas  | -          |
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Simple      |Ojocompuesto|
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|Encadenado  |Antídoto    |
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|Ventosas    |Hidratación |
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|Ventosas    |Levitación  |
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|Rivalidad   |Espír. Vital|
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|Sincronía   |Colector    |
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|Sequía      |Gélido      |Polvo Plata (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|Adaptable   |Levitación  |
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|Velo Agua   | -          |
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|Cromolente  | -          |Flecha Ven. (rare)
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Rezagado    | -          |
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Francotirad.|Colector    |
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|Absor. Agua | -          |
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|Efec. Espora|Rompemoldes |Baya Chilan (rare)
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|Cromolente  | -          |Baya Chilan (rare)
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Mal Sueño   |Cambio Color|
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Más         |Mar Llamas  |Pico Afilado (rare)
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|Cabeza Roca | -          |
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|Absor. Agua | -          |
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|Cuerpo Puro | -          |Baya Aranja (common), Bolaluminosa (rare)
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|Impulso     | -          |Baya Aranja (rare)
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|Ignorante   |Escama Esp. |Garra Rápida (rare)
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|Muro Mágico |Inmunidad   |Garra Rápida (rare)
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|Entusiasmo  |Hidratación |
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|Normalidad  |Inmunidad   |
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|Cuerpo Llama| -          |
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|Absor. Elec.|Caparazón   |
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|Ignífugo    | -          |
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|Ausente     |Enjambre    |
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|Recogida    |Sequía      |Baya Zanama (common), Piedra Lunar (rare)
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|Dicha       | -          |Baya Zanama (common), Piedra Lunar (rare)
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|Nado Rápido |Encadenado  |Baya Safre (100%)
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|Rivalidad   |Absor. Elec.|Baya Safre (100%)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|Corte Fuerte| -          |
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|Ritmo Propio|Imán        |
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Trampa Arena|Espesura    |
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Presión     |Flexibilidad|
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Despiste    | -          |
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Ojocompuesto|Sequía      |
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|Nado Rápido |Enjambre    |
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Ritmo Propio|Clorofila   |Mini Seta (common), Seta Grande (rare)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Imán        |Espesura    |Mini Seta (common), Seta Grande (rare)
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|Efec. Espora|Agallas     |
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|Robustez    | -          |Muda Concha (rare)
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|Ventosas    |Despiste    |Arena Fina (rare)
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|Impulso     | -          |Arena Fina (rare)
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|Sombratrampa| -          |Garra Rápida (rare)
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|Polvo Escudo| -          |Garra Rápida (rare)
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|Mudar       |Cura Lluvia |
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|Presión     | -          |
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|Viscosidad  |Menos       |Baya Payapa (rare)
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|Experto     |Viscosidad  |Baya Payapa (rare)
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|Insonorizar |Mal Sueño   |Baya Safre (100%)
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|Velo Agua   | -          |Baya Safre (100%)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|Liviano     | -          |
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|Impulso     |Vista Lince |Roca del Rey (rare)
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|Sombratrampa|Resquicio   |Roca del Rey (rare)
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|Tumbos      |Irascible   |Cuchara Tor (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|Presión     | -          |Cuchara Tor (rare)
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|Absor. Agua |Llovizna    |Cuchara Tor (rare)
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|Francotirad.|Recogemiel  |
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|Absor. Elec.| -          |
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|Mal Sueño   | -          |
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Potencia    |Menos       |
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Menos       |Sincronía   |
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|Presión     | -          |
